url_path,views_total,views_unique
/grp-bork/nHUMAnN,7,5
/grp-bork/nHUMAnN/tree/main,4,1
/grp-bork/nHUMAnN/tree/main/metaphlow,2,1
/grp-bork/nHUMAnN/blob/main/metaphlow/modules/profilers/humann3.nf,1,1
/grp-bork/nHUMAnN/blob/main/metaphlow/workflows/humann3.nf,1,1
/grp-bork/nHUMAnN/blob/main/nextflow.config,1,1
/grp-bork/nHUMAnN/tree/main/bin,1,1
/grp-bork/nHUMAnN/tree/main/metaphlow/modules,1,1
/grp-bork/nHUMAnN/tree/main/metaphlow/modules/profilers,1,1
/grp-bork/nHUMAnN/tree/main/metaphlow/workflows,1,1
